Timestamp,SensorID,SequenceNumber,TotalLength,SourceAddress,TempHumiRange,TempHumiStatus,TempHumiEvent,TempHumiSenVal,XSenEvent,XOAVelocity,XPeakmg,XRMSmg,XKurtosis,XCrestFactor,XSkewness,XDeviation,XPeaktoPeakDisplacement,YSenEvent,YOAVelocity,YPeakmg,YRMSmg,YKurtosis,YCrestFactor,YSkewness,YDeviation,YPeaktoPeakDisplacement,ZSenEvent,ZOAVelocity,ZPeakmg,ZRMSmg,ZKurtosis,ZCrestFactor,ZSkewness,ZDeviation,ZPeaktoPeakDisplacement,LogIndex,DeviceEvents,DevicePowerSrc,DeviceBatteryVolt,DeviceTime
1670198653000,sensor-2,231,88,null,0,0,0,26375,0,6,5,4,43,46,0,7,1,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3523,1670198654
1670198666000,sensor-4,95,88,null,0,0,0,25875,0,5,5,4,6,0,-3,7,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3531,1670198667
1670198671000,sensor-3,82,88,null,0,0,0,26187,0,5,5,4,6,91,-10,7,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3523,1670198671
1670199237000,sensor-1,168,88,null,0,0,0,26000,0,6,5,4,-13,70,14,0,1,0,5,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,2,3503,1670199238
1670199553000,sensor-2,232,88,null,0,0,0,26312,0,5,5,4,42,95,2,6,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3523,1670199554
1670199566000,sensor-4,96,88,null,0,0,0,25812,0,5,5,4,0,268,-5,7,1,0,6,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,2,3531,1670199567
1670199571000,sensor-3,83,88,null,0,0,0,26125,0,4,5,4,-5,95,-12,7,1,0,6,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3523,1670199572
1670200137000,sensor-1,169,88,null,0,0,0,26000,0,5,5,4,9,49,1,0,1,0,5,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,2,3503,1670200138
1670200453000,sensor-2,233,88,null,0,0,0,26375,0,5,5,4,22,0,0,7,1,0,4,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3523,1670200454
1670200466000,sensor-4,97,88,null,0,0,0,25812,0,6,5,4,10,69,7,6,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3531,1670200467
1670200470000,sensor-3,84,88,null,0,0,0,26125,0,4,5,4,-10,425,-8,7,1,0,6,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3523,1670200471
1670201038000,sensor-1,170,88,null,0,0,0,26000,0,6,5,4,-5,167,3,0,1,0,7,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3503,1670201038
1670201353000,sensor-2,234,88,null,0,0,0,26375,0,5,5,4,13,280,-2,6,1,0,7,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3523,1670201354
1670201366000,sensor-4,98,88,null,0,0,0,25812,0,4,4,3,8,24,-10,6,0,0,5,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,2,3531,1670201367
1670201370000,sensor-3,85,88,null,0,0,0,26062,0,6,5,4,-1,177,-6,7,1,0,7,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,2,3523,1670201371
1670201938000,sensor-1,171,88,null,0,0,0,26000,0,5,5,4,-6,69,12,0,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3503,1670201939
1670202253000,sensor-2,235,88,null,0,0,0,26250,0,6,5,4,16,96,1,7,1,0,4,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3523,1670202254
1670202266000,sensor-4,99,88,null,0,0,0,25812,0,5,5,4,0,268,-1,6,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3531,1670202267
1670202270000,sensor-3,86,88,null,0,0,0,26062,0,6,5,4,-2,0,-7,7,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3523,1670202271
1670202837000,sensor-1,172,88,null,0,0,0,26000,0,5,5,4,-8,73,7,0,1,0,5,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,2,3503,1670202838
1670203153000,sensor-2,236,88,null,0,0,0,26312,0,6,5,4,18,46,3,7,1,0,4,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3523,1670203154
1670203167000,sensor-4,100,88,null,0,0,0,25750,0,4,5,4,-3,189,-1,7,0,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3531,1670203168
