Timestamp,UID,machine1,machine2,machine3,machine4,machine5,machine6,machine7,machine8,machine9,machine10,machine11,machine12,machine13,machine14,machine15,machine16,machine17,machine18,machine19,machine20,machine21
1673222426382,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222426413,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222426652,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222486375,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222486430,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222486660,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222546384,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222546441,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222546676,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222606424,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222606428,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222606690,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222666410,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222666449,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222666686,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222726407,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222726450,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222726747,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222786438,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222786453,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222786720,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222846437,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222846454,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222846708,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222906439,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222906484,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222906735,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673222966435,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673222966489,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673222966741,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673223026449,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673223026487,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673223026741,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673223086463,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673223086492,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673223086739,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673223146466,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673223146511,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673223146747,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673223206501,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673223206522,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673223206766,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673223266485,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673223266521,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673223266818,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673223326487,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1673223326533,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1673223326783,sensor3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1673223386519,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
