Timestamp,SensorID,SequenceNumber,TotalLength,SourceAddress,TempHumiRange,TempHumiStatus,TempHumiEvent,TempHumiSenVal,XSenEvent,XOAVelocity,XPeakmg,XRMSmg,XKurtosis,XCrestFactor,XSkewness,XDeviation,XPeaktoPeakDisplacement,YSenEvent,YOAVelocity,YPeakmg,YRMSmg,YKurtosis,YCrestFactor,YSkewness,YDeviation,YPeaktoPeakDisplacement,ZSenEvent,ZOAVelocity,ZPeakmg,ZRMSmg,ZKurtosis,ZCrestFactor,ZSkewness,ZDeviation,ZPeaktoPeakDisplacement,LogIndex,DeviceEvents,DevicePowerSrc,DeviceBatteryVolt,DeviceTime
1698019570977,sensor-2,44,88,null,0,0,0,30875,0,6,5,4,0,654,6,7,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566229504
1698019671868,sensor-4,98,88,null,0,0,0,30562,0,7,5,4,0,66,7,7,2,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3493,1563926426
1698019687816,sensor-1,100,88,null,0,0,0,29437,0,6,5,4,12,48,-3,0,1,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3507,1563926404
1698020470647,sensor-2,45,88,null,0,0,0,30875,0,6,5,4,-13,643,7,7,1,0,6,4,3,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,2,3463,1566230404
1698020573727,sensor-4,99,88,null,0,0,0,30437,0,6,5,4,-8,186,9,7,1,0,6,5,4,0,0,0,0,0,0,9,7,5,0,0,0,0,0,0,0,2,3493,1563927326
1698020587834,sensor-1,101,88,null,0,0,0,29375,0,5,5,4,24,48,-1,0,1,0,5,4,3,0,0,0,0,0,0,8,7,5,0,0,0,0,0,0,0,2,3507,1563927304
1698021370803,sensor-2,46,88,null,0,0,0,30750,0,5,5,4,0,689,2,7,1,0,5,5,4,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,0,2,3463,1566231304
1698021471958,sensor-4,100,88,null,0,0,0,30312,0,6,5,4,-16,244,5,7,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3493,1563928226
1698021487856,sensor-1,102,88,null,0,0,0,29312,0,4,5,4,7,373,-6,0,0,0,7,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3507,1563928204
1698022270786,sensor-2,47,88,null,0,0,0,30750,0,5,5,4,-4,634,0,7,1,0,7,4,3,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,2,3463,1566232204
1698022371975,sensor-4,101,88,null,0,0,0,30187,0,6,5,4,-6,238,7,7,1,0,5,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,2,3493,1563929126
1698022387829,sensor-1,103,88,null,0,0,0,29250,0,7,5,4,12,23,-8,0,2,0,6,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,2,3507,1563929104
1698023170667,sensor-2,48,88,null,0,0,0,30625,0,6,5,4,-6,625,10,7,1,0,7,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566233104
1698023271997,sensor-4,102,88,null,0,0,0,30125,0,7,5,4,-12,306,8,7,1,0,7,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,2,3493,1563930027
1698023287854,sensor-1,104,88,null,0,0,0,29187,0,8,5,4,6,204,-4,0,2,0,8,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,2,3507,1563930005
1698024071371,sensor-2,49,88,null,0,0,0,30625,0,6,5,4,-9,571,-6,7,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566234004
1698024171053,sensor-4,103,88,null,0,0,0,30000,0,7,5,4,-8,183,11,7,1,0,5,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,2,3493,1563930926
1698024186917,sensor-1,105,88,null,0,0,0,29125,0,8,5,4,11,140,0,0,2,0,7,4,3,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,0,2,3507,1563930904
1698024970770,sensor-2,50,88,null,0,0,0,30562,0,6,5,4,0,710,6,7,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566234904
1698025071013,sensor-4,104,88,null,0,0,0,29875,0,6,5,4,8,198,2,7,1,0,7,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,2,3493,1563931826
1698025087015,sensor-1,106,88,null,0,0,0,29125,0,6,5,4,12,47,-8,0,1,0,5,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,2,3507,1563931804
1698025870858,sensor-2,51,88,null,0,0,0,30500,0,9,5,4,6,743,0,7,3,0,4,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566235804
1698025971017,sensor-4,105,88,null,0,0,0,29750,0,7,5,4,16,506,13,7,1,0,7,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3493,1563932726
1698025986911,sensor-1,107,88,null,0,0,0,29062,0,5,5,4,20,195,-3,0,0,0,7,5,4,0,0,0,0,0,0,8,7,5,0,0,0,0,0,0,0,2,3507,1563932704
1698026771044,sensor-2,52,88,null,0,0,0,30437,0,7,5,4,-1,663,6,7,2,0,4,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3463,1566236704
1698026871057,sensor-4,106,88,null,0,0,0,29687,0,7,5,4,-4,156,3,7,2,0,6,5,4,0,0,0,0,0,0,9,5,4,0,0,0,0,0,0,0,2,3493,1563933626
1698026886995,sensor-1,108,88,null,0,0,0,29000,0,5,5,4,37,244,-2,0,1,0,6,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,2,3507,1563933604
1698027671065,sensor-2,53,88,null,0,0,0,30375,0,7,5,4,-12,557,-7,7,1,0,7,5,4,0,0,0,0,0,0,9,5,4,0,0,0,0,0,0,0,2,3463,1566237604
1698027773283,sensor-4,107,88,null,0,0,0,29625,0,6,5,4,3,245,9,7,1,0,6,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,2,3493,1563934526
1698027786922,sensor-1,109,88,null,0,0,0,29000,0,6,5,4,34,73,0,0,1,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,2,3507,1563934504
1698028571082,sensor-2,54,88,null,0,0,0,30375,0,7,5,4,3,668,-2,7,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566238505
1698028671108,sensor-4,108,88,null,0,0,0,29562,0,6,5,4,-7,135,4,7,1,0,6,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,2,3493,1563935426
1698028691562,sensor-1,110,88,null,0,0,0,28937,0,6,5,4,25,0,-14,0,1,0,6,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,2,3507,1563935404
1698029469992,sensor-2,55,88,null,0,0,0,30375,0,5,5,4,4,619,-5,7,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566239404
1698029571226,sensor-4,109,88,null,0,0,0,29500,0,6,5,4,-2,226,12,7,1,0,4,5,4,0,0,0,0,0,0,7,7,5,0,0,0,0,0,0,0,2,3493,1563936326
1698029587086,sensor-1,111,88,null,0,0,0,29000,0,5,5,4,7,218,-8,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3507,1563936304
1698030370119,sensor-2,56,88,null,0,0,0,30375,0,4,5,4,-3,859,5,7,0,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3463,1566240304
1698030471136,sensor-4,110,88,null,0,0,0,29500,0,5,5,4,13,22,8,7,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3493,1563937226
1698030487022,sensor-1,112,88,null,0,0,0,29000,0,6,5,4,6,0,-3,0,1,0,7,5,4,0,0,0,0,0,0,11,5,4,0,0,0,0,0,0,0,2,3507,1563937204
1698031270076,sensor-2,57,88,null,0,0,0,30375,0,6,5,4,-8,727,2,7,1,0,5,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3463,1566241204
1698031371185,sensor-4,111,88,null,0,0,0,29500,0,5,5,4,-3,23,8,7,1,0,15,5,4,0,0,0,0,0,0,12,5,4,0,0,0,0,0,0,0,2,3493,1563938126
1698031387027,sensor-1,113,88,null,0,0,0,29062,0,4,5,4,33,94,-1,0,0,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3507,1563938104
1698032169771,sensor-2,58,88,null,0,0,0,30437,0,9,5,4,18,703,1,7,3,0,5,4,3,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,2,3463,1566242104
1698032271160,sensor-4,112,88,null,0,0,0,29562,0,7,5,4,14,0,14,7,2,0,14,5,4,0,0,0,0,0,0,9,5,4,0,0,0,0,0,0,0,2,3493,1563939026
1698032287093,sensor-1,114,88,null,0,0,0,29125,0,4,5,4,16,0,-9,0,1,0,6,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3507,1563939004
1698033070117,sensor-2,59,88,null,0,0,0,30437,0,7,5,4,-13,600,12,7,2,0,5,4,3,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,2,3463,1566243004
1698033171254,sensor-4,113,88,null,0,0,0,29562,0,5,5,4,6,268,12,7,1,0,4,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,0,2,3493,1563939926
1698033187055,sensor-1,115,88,null,0,0,0,29187,0,6,5,4,11,223,-2,0,2,0,5,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3507,1563939904
1698033970531,sensor-2,60,88,null,0,0,0,30437,0,6,5,4,0,611,5,7,1,0,4,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566243904
1698034071227,sensor-4,114,88,null,0,0,0,29625,0,6,5,4,-6,0,10,7,1,0,4,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,2,3493,1563940826
1698034087048,sensor-1,116,88,null,0,0,0,29312,0,6,5,4,10,124,-6,0,1,0,7,5,4,0,0,0,0,0,0,6,7,5,0,0,0,0,0,0,0,2,3507,1563940804
1698034870194,sensor-2,61,88,null,0,0,0,30500,0,5,5,4,-9,605,-3,7,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,0,2,3463,1566244804
