Timestamp,UID,machine1,machine2,machine3,machine4,machine5,machine6,machine7,machine8,machine9,machine10,machine11,machine12,machine13,machine14,machine15,machine16,machine17,machine18,machine19,machine20,machine21
1693785772475,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693785772498,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693785772935,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693785832453,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693785832473,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693785832933,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693785892538,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693785892540,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693785892944,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693785952489,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693785952512,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693785952960,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786012527,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786012959,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786013113,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786072499,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786072506,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786072976,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786132559,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786132568,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786133003,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786192593,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786192611,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786192985,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786252586,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786252599,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786253004,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786312546,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786312551,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786313038,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786372525,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786372541,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786373030,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786432548,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786432560,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786433012,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786492555,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786492586,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
1693786493041,sensor3,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
1693786552558,sensor2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,
1693786552596,sensor1,0,0,0,0,0,,,,,,,,,,,,,,,,
